,Sun,Mercury,Venus,Earth,Moon,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
mu,132712440041.939300537109375,22031.7800000000206637196242809295654296875,324858.5920000000041909515857696533203125,398600.435436095925979316234588623046875,4902.80006616379614570178091526031494140625,42828.373620699087041430175304412841796875,126686534.921800792217254638671875,37931207.498652242124080657958984375,5793951.322279009036719799041748046875,6835099.50243967212736606597900390625,869.6138177608748947022831998765468597412109375
req,696000,2439.7,6051.8,6378.1365,1737.4,3396.19,71492,60268,25559,24764,1195
soi,,112500,616400,916600,,577400,48223000,54679000,51792000,86975000,15146000
avg orbit radius,,57910000,108204139.80000001,149597870.7,,227940000,778330000,1429400000,2870990000,4504300000,5913520000
