    1.000000    0.001711
    0.993723    0.002903
    0.982775    0.004959
    0.969992    0.007327
    0.955666    0.009936
    0.940264    0.012692
    0.924222    0.015509
    0.907837    0.018333
    0.891275    0.021132
    0.874624    0.023894
    0.857926    0.026609
    0.841202    0.029277
    0.824462    0.031895
    0.807711    0.034464
    0.790953    0.036984
    0.774190    0.039453
    0.757424    0.041871
    0.740656    0.044240
    0.723887    0.046557
    0.707119    0.048821
    0.690352    0.051033
    0.673589    0.053190
    0.656830    0.055291
    0.640077    0.057335
    0.623332    0.059320
    0.606594    0.061243
    0.589867    0.063103
    0.573152    0.064897
    0.556449    0.066622
    0.539761    0.068274
    0.523090    0.069852
    0.506436    0.071351
    0.489803    0.072767
    0.473192    0.074096
    0.456605    0.075335
    0.440044    0.076479
    0.423513    0.077521
    0.407014    0.078457
    0.390549    0.079281
    0.374123    0.079987
    0.357739    0.080570
    0.341401    0.081020
    0.325114    0.081332
    0.308883    0.081496
    0.292715    0.081506
    0.276617    0.081350
    0.260598    0.081021
    0.244668    0.080506
    0.228839    0.079796
    0.213128    0.078876
    0.197554    0.077738
    0.182143    0.076366
    0.166928    0.074747
    0.151958    0.072871
    0.137297    0.070728
    0.123034    0.068314
    0.109290    0.065637
    0.096218    0.062722
    0.083993    0.059613
    0.072782    0.056373
    0.062705    0.053081
    0.053802    0.049806
    0.046033    0.046603
    0.039294    0.043501
    0.033459    0.040512
    0.028396    0.037633
    0.023986    0.034850
    0.020129    0.032148
    0.016743    0.029510
    0.013763    0.026920
    0.011140    0.024360
    0.008834    0.021813
    0.006820    0.019269
    0.005078    0.016714
    0.003599    0.014143
    0.002378    0.011554
    0.001413    0.008951
    0.000704    0.006348
    0.000246    0.003769
    0.000026    0.001234
    0.000026    -0.000440
    0.000246    -0.001337
    0.000704    -0.002254
    0.001413    -0.003178
    0.002378    -0.004101
    0.003599    -0.005020
    0.005078    -0.005933
    0.006820    -0.006840
    0.008834    -0.007743
    0.011140    -0.008647
    0.013763    -0.009556
    0.016743    -0.010475
    0.020129    -0.011412
    0.023986    -0.012371
    0.028396    -0.013359
    0.033459    -0.014381
    0.039295    -0.015442
    0.046033    -0.016543
    0.053802    -0.017680
    0.062705    -0.018843
    0.072782    -0.020011
    0.083993    -0.021162
    0.096218    -0.022265
    0.109290    -0.023300
    0.123034    -0.024250
    0.137297    -0.025107
    0.151958    -0.025868
    0.166928    -0.026534
    0.182143    -0.027108
    0.197554    -0.027595
    0.213128    -0.027999
    0.228839    -0.028326
    0.244668    -0.028578
    0.260598    -0.028761
    0.276617    -0.028877
    0.292715    -0.028933
    0.308883    -0.028930
    0.325114    -0.028871
    0.341401    -0.028760
    0.357739    -0.028601
    0.374123    -0.028394
    0.390549    -0.028143
    0.407014    -0.027850
    0.423513    -0.027518
    0.440044    -0.027149
    0.456605    -0.026742
    0.473192    -0.026303
    0.489803    -0.025831
    0.506436    -0.025328
    0.523090    -0.024796
    0.539761    -0.024236
    0.556449    -0.023649
    0.573152    -0.023037
    0.589867    -0.022401
    0.606594    -0.021740
    0.623332    -0.021057
    0.640078    -0.020353
    0.656830    -0.019627
    0.673589    -0.018881
    0.690352    -0.018115
    0.707119    -0.017331
    0.723887    -0.016527
    0.740656    -0.015704
    0.757424    -0.014863
    0.774190    -0.014005
    0.790953    -0.013129
    0.807711    -0.012234
    0.824462    -0.011322
    0.841202    -0.010393
    0.857926    -0.009446
    0.874624    -0.008482
    0.891275    -0.007502
    0.907837    -0.006508
    0.924222    -0.005505
    0.940264    -0.004505
    0.955666    -0.003527
    0.969992    -0.002601
    0.982775    -0.001760
    0.993723    -0.001030
    1.000000    -0.000608
