,0
73,1.94490875531538e-09
74,-1.515719302579293e-10
75,-1.6166790178168898e-10
76,1.2732297642595037e-08
77,3.84096071836507e-09
78,-1.372402466398863e-10
79,-1.6148686361707946e-10
80,3.781431937001741e-09
81,2.47845275858239e-09
82,-1.279109873208916e-10
83,-1.6541530574326638e-10
84,2.9595822462839053e-09
85,1.9616015101970438e-09
86,-1.2621294886153965e-10
87,-1.7121777804557884e-10
88,4.405217935795878e-09
89,2.690745947429408e-09
90,-1.3899567243535745e-10
91,-1.6987745340125933e-10
92,1.555809792779497e-08
93,6.553998866364813e-09
94,-1.542763745874777e-10
95,-1.292058671031827e-10
96,2.9999999502281005
97,3.689345860085008e-08
98,-1.6410575983184049e-10
99,-3.951294599961747e-11
100,1.3742474505738684e-09
101,9.135655056037116e-10
102,-7.663817762208285e-11
103,1.5530724039454583e-10
104,5.815082032810777e-10
105,4.838935188535797e-10
106,5.498432884618159e-11
107,5.118410123334315e-10
108,1.5542322390122354e-10
109,1.734060442388804e-10
110,2.9976843913646363e-10
111,-1.0990587536588117e-10
112,-8.098102888674722e-11
113,2.4272823988696646e-09
114,3.059284815692245e-10
115,-1.5401119147251143e-10
116,-8.254592927131451e-11
117,3.536173476874877e-09
118,3.290976723014846e-09
119,-1.200950747751135e-10
120,-8.067284016909188e-11
121,4.2878667245364705e-09
122,2.5789721257100796e-09
123,-1.1418075992611197e-10
124,-7.244832381216716e-11
125,9.417009095199921e-09
126,2.631816596018031e-09
127,-1.1209722974547771e-10
128,2.5755332957490472e-11
129,2.999999960335295
130,7.315168676980963e-10
131,-1.1779347696901663e-10
132,2.1058548345366024e-11
133,1.2246147516412428e-08
134,7.189975058267506e-10
135,-1.2431319563049528e-10
136,-4.7901592476330203e-11
137,5.119314327405202e-09
138,7.138816635397636e-10
139,-1.4918223072428007e-10
140,-5.548723049197878e-11
141,4.359526469222401e-09
142,1.0533771651939906e-09
143,-1.2613807934008326e-10
144,-5.616916701585146e-11
145,5.0165659495517965e-09
146,1.1700330055702655e-09
147,-1.2281613816062333e-10
148,-2.518675317150734e-11
149,1.431825204104481e-08
150,1.0343035151886399e-09
151,-1.235250586775188e-10
152,-7.364840066053894e-11
153,2.9999999534416313
154,1.1327890387679124e-09
155,-1.2486988960939095e-10
156,-7.268912430455944e-11
157,1.3728536064966478e-08
158,8.585530644386808e-10
159,-1.3061699688314813e-10
160,-9.285240125467552e-12
161,5.206136934425413e-09
162,1.0856259784408762e-09
163,-1.21636681921454e-10
164,-5.181195319797619e-11
165,4.4510685824039725e-09
166,7.87421392541218e-10
167,-1.2953545692756158e-10
168,-5.24031857369323e-11
169,4.664228999673287e-09
170,9.758488327820423e-10
171,-1.2744823206912986e-10
172,-6.057602883440995e-11
173,1.531278054241954e-08
174,9.486492306925e-10
175,-1.2310203015372784e-10
176,-4.429690805653151e-11
177,2.9999999536280795
178,9.939925064333291e-10
179,-1.2460807665392042e-10
180,-5.0975635322469935e-12
181,1.3395953386594486e-08
182,9.89570321476168e-10
183,-1.3349936527769112e-10
184,-7.482643188184134e-11
185,4.918907837621196e-09
186,8.014449813580026e-10
187,-1.5091597517250665e-10
188,-2.207523277398215e-11
189,4.24180844515709e-09
190,9.453915225868342e-10
191,-1.3477900016122734e-10
192,-4.140797360495165e-12
193,5.1491834247080785e-09
194,7.345883390621843e-10
195,-1.203802753734995e-10
196,-6.298394254221136e-11
197,1.6093547404095222e-08
198,9.475474369968446e-10
199,-1.0707453903997767e-10
200,-1.1098250782862281e-10
201,2.9999999514600226
202,1.5745952935841124e-09
203,-1.0135610912076358e-10
204,-1.4368484271706085e-10
205,1.5644215130185917e-08
206,3.239888723441795e-09
207,-9.701322490526721e-11
208,3.4566514060778906e-11
209,3.8701449484947e-09
210,2.5093425554642823e-09
211,-1.6667230397032016e-10
212,3.418609446090317e-10
213,1.1295388239723441e-09
214,2.009848245517241e-10
215,-8.453195930378274e-11
216,7.606573496066135e-10
217,-5.377689307192836e-11
218,2.433857257757023e-10
219,2.9976844011004896e-10
220,-7.731135270077371e-11
221,2.112362374695908e-10
222,3.4978194160932393e-09
223,3.0484022165003967e-10
224,-1.1293765681122815e-10
225,-4.3628073741832726e-11
226,4.613965739948134e-09
227,3.279515148935386e-10
228,-1.538536300224038e-10
229,-1.8335408431759985e-11
230,1.0462504501414393e-08
231,1.6464463414507363e-09
232,-1.2006702274278312e-10
233,1.4296443672699634e-10
234,2.999999962192266
235,4.410281385331721e-10
236,-1.120098590028828e-10
237,1.537498119415348e-10
238,1.2511890518273745e-08
239,3.9629460548756065e-10
240,-1.112878734872488e-10
241,1.4318259863267587e-10
242,5.324076805073969e-09
243,3.9902954071133307e-10
244,-1.1562218608272682e-10
245,1.1857326428530378e-10
246,4.551075373510358e-09
247,4.0156275732340975e-10
248,-1.2308305159656505e-10
249,7.889833381957365e-11
250,5.2995972171848775e-09
251,4.2358584417056184e-10
252,-1.4685351271456036e-10
253,9.307638059170246e-11
254,1.4806029160445679e-08
255,4.774746054316346e-10
256,-1.2258805239002145e-10
257,6.852443813946086e-11
258,2.9999999537121576
259,5.232027127462275e-10
260,-1.193791485124571e-10
261,1.1049442389496329e-10
262,1.4257167724706937e-08
263,4.3480375096259214e-10
264,-1.195248363134075e-10
265,1.0941599146206923e-10
266,5.492929275815213e-09
267,4.292571799744639e-10
268,-1.2190975104357659e-10
269,6.683176906065148e-11
270,4.786488959353332e-09
271,4.295118122101802e-10
272,-1.2667833763799025e-10
273,1.3744311338379994e-10
274,4.978606551623317e-09
275,5.081549721675206e-10
276,-1.1207679147306894e-10
277,1.0457520606915322e-10
278,1.568086043713004e-08
279,3.4259183861384473e-10
280,-1.2631621120969075e-10
281,8.081685290606118e-11
282,2.9999999538722966
283,4.779781615168672e-10
284,-1.2525763455686647e-10
285,9.781387348503756e-11
286,1.3777141734459241e-08
287,4.4229227359839103e-10
288,-1.2101654329189497e-10
289,8.946712823567589e-11
290,5.232249075141237e-09
291,4.623018288039452e-10
292,-1.223146382441336e-10
293,1.4390414904562477e-10
294,4.585386676664977e-09
295,4.4202068249307917e-10
296,-1.3236738499826847e-10
297,1.0758401993839203e-10
298,5.5042382425242525e-09
299,3.4157855740564124e-10
300,-1.5059821697233743e-10
301,1.2484352261284156e-10
302,1.6288632555666355e-08
303,4.958284559659098e-10
304,-1.331998732743583e-10
305,1.214152428349027e-10
306,2.999999951818335
307,3.9800382411228404e-10
308,-1.1568294821380002e-10
309,2.5175456422562593e-11
310,1.6014295563227502e-08
311,5.015630101302988e-10
312,-8.748693647155689e-11
313,-1.930114748466712e-11
314,5.0086772800365444e-09
315,6.884066548294724e-10
316,-5.6764720397672563e-11
317,-6.665123182351489e-12
318,2.230499743054947e-09
319,5.859072490597411e-10
320,-6.78392154742804e-11
321,7.901604758270314e-10
322,1.3772795055282026e-09
323,4.546777102980986e-10
324,-1.6806646325321744e-10
325,1.731334695871348e-09
326,-1.3530893625865742e-10
327,2.9976844063491537e-10
328,2.997684400966748e-10
329,-4.8200315769929646e-11
330,2.997684394927921e-10
331,4.624490552050867e-09
332,2.9486269247565985e-10
333,-7.789937833126739e-11
334,2.9976844018245425e-10
335,1.0518287714638621e-08
336,2.739584441471992e-10
337,-1.1474705253850641e-10
338,2.9976844012834893e-10
339,2.999999963821097
340,1.5027749820790337e-11
341,-1.5144623991280467e-10
342,2.997684402779839e-10
343,1.2760408236288792e-08
344,1.9348074820045707e-10
345,-1.2078710743547628e-10
346,2.9976844011854234e-10
347,5.497539383310331e-09
348,2.2165419434604083e-10
349,-1.1207278573658282e-10
350,2.997684406831198e-10
351,4.729017468215907e-09
352,2.193216181844272e-10
353,-1.109530144107981e-10
354,2.997684398057574e-10
355,5.4806782622796074e-09
356,2.1889690525452676e-10
357,-1.1487757208866339e-10
358,2.9976843960658227e-10
359,1.5032171589071724e-08
360,1.9768373210460507e-10
361,-1.2249634268341118e-10
362,2.9976843978445345e-10
363,2.999999953996705
364,1.8898132461491288e-10
365,-1.43643659370669e-10
366,2.9976843960881974e-10
367,1.463080786816027e-08
368,1.470069134535281e-10
369,-1.200151431621888e-10
370,2.9976843985178637e-10
371,5.729256169584838e-09
372,1.9532946420245691e-10
373,-1.175538069988558e-10
374,2.9976844013399614e-10
375,5.013168283156999e-09
376,1.9916141414712686e-10
377,-1.1771685869190553e-10
378,2.9976844042008917e-10
379,5.207379170812237e-09
380,1.9822557067703548e-10
381,-1.2044233516435172e-10
382,2.997684408209474e-10
383,1.603333949294431e-08
384,1.539215508141018e-10
385,-1.2421343235312877e-10
386,2.9976844119134323e-10
387,2.9999999539476634
388,2.565707528974744e-10
389,-1.0298293167093392e-10
390,2.99768441920846e-10
391,1.4086764656640526e-08
392,1.6796771555799326e-10
393,-1.2447736146566964e-10
394,2.997684389616528e-10
395,5.480051547694147e-09
396,1.9170234440685277e-10
397,-1.2410682329647e-10
398,2.997684401930273e-10
399,4.862454455505517e-09
400,1.81640753116598e-10
401,-1.191765899375248e-10
402,2.9976843949305137e-10
403,5.751687496388157e-09
404,1.9189166315776953e-10
405,-1.2086440359967433e-10
406,2.9976843886050977e-10
407,1.6368192635332156e-08
408,2.6331167827480883e-10
409,-1.3172503191708243e-10
410,2.9976843868274007e-10
411,2.999999952148165
412,1.637063580978089e-10
413,-1.5108243450525798e-10
414,2.9976843932712845e-10
415,1.619436463942746e-08
416,2.188894498847288e-10
417,-1.323229360007582e-10
418,2.9976844011596107e-10
419,5.344574345832745e-09
420,1.6037758627036694e-10
421,-1.1103969527161351e-10
422,2.997684442841821e-10
423,2.7994145244931527e-09
424,9.783471146977206e-11
425,-6.63201173187078e-11
426,2.9976843850725856e-10
427,1.8061132867965605e-09
428,1.2504835451817645e-10
429,-2.4822007953678044e-11
430,2.997684397031602e-10
431,1.9861027068026445e-09
432,1.8445262611850505e-10
433,-5.29817066029996e-11
434,2.9999999937117026
435,5.983522705631662e-09
436,3.695718869583107e-10
437,2.9976844107028824e-10
438,1.116171737479045e-12
439,4.2138126092130175e-10
440,1.0563560619699847e-08
441,2.9491545422303506e-10
442,-5.162987920945996e-11
443,2.796415940030201e-09
444,2.9999999667783563
445,-4.821967623281119e-11
446,-7.606250062366222e-11
447,1.7138935511222513e-09
448,1.2706845133414569e-08
449,-5.444857530877087e-11
450,-1.0465288254741773e-10
451,5.637629305449053e-10
452,6.055435365895008e-09
453,-5.20078295348857e-11
454,-1.3462511254011472e-10
455,5.320010919085396e-10
456,4.9466257422539815e-09
457,7.230078658964541e-11
458,-1.2133595631301213e-10
459,5.587584239744779e-10
460,5.7200630285057154e-09
461,9.036030878006441e-11
462,-1.107751538066679e-10
463,5.964320944805915e-10
464,1.5287791309264577e-08
465,8.185717718428875e-11
466,-1.0936764198584933e-10
467,7.871563080407817e-10
468,2.9999999545102263
469,2.5078749254898068e-11
470,-1.119363461139005e-10
471,6.951530035261654e-10
472,1.5012508203372583e-08
473,4.440451437129801e-12
474,-1.1786791451694358e-10
475,7.470434131170448e-10
476,6.077273238189149e-09
477,2.8209339621791697e-11
478,-1.3838670818650246e-10
479,6.227674116394881e-10
480,5.375249312557519e-09
481,-9.112914629578961e-12
482,-1.141089560338707e-10
483,6.244415788384986e-10
484,5.496775020574496e-09
485,4.3734451052616246e-11
486,-1.1410013865608849e-10
487,7.550447747976556e-10
488,1.654354164775088e-08
489,-6.232010322792356e-13
490,-1.1354738653451726e-10
491,5.546340563470199e-10
492,2.9999999539848208
493,6.667055103281082e-11
494,-1.1662575553015712e-10
495,6.443975706087707e-10
496,1.4578882198948897e-08
497,2.3407200594024272e-11
498,-1.1915649176766112e-10
499,7.036650927260168e-10
500,5.8215201282030745e-09
501,3.1188230417500244e-11
502,-8.730149367921996e-11
503,6.712577981940462e-10
504,5.191460538786922e-09
505,2.713405602469562e-11
506,-1.206067460339839e-10
507,7.079691458347626e-10
508,6.109984198349753e-09
509,2.93486880274324e-11
510,-1.2193884001190496e-10
511,5.464698396328061e-10
512,1.650115921365267e-08
513,7.217334949035186e-11
514,-1.171570030423857e-10
515,6.33491960771409e-10
516,2.999999952626605
517,2.7513183946448634e-11
518,-1.1832539840575493e-10
519,5.859485939682399e-10
520,1.6326366944467055e-08
521,7.482622438158337e-11
522,-1.2918587626658722e-10
523,5.983185183069383e-10
524,5.717927985991741e-09
525,2.7523419514045073e-11
526,-1.5023764186938496e-10
527,1.0208142190141985e-09
528,3.6713999239504004e-09
529,-3.236816194261694e-11
530,-1.276615742935006e-10
531,1.3968993726917403e-09
532,3.340470483224629e-09
533,-8.714396942971502e-11
534,-9.319082610308233e-11
535,1.1874833843986868e-09
536,2.9084975674631903e-09
537,-7.716668898572273e-11
538,5.590028239004948e-12
539,6.349453731409572e-11
540,2.999999992503797
541,4.2571389586130595e-10
542,7.106713265671927e-11
543,2.427685486263991e-09
544,1.7655199815804665e-09
545,5.185283616072509e-10
546,2.997684350778622e-10
547,-1.3028353919126717e-11
548,8.71586421870579e-09
549,2.999999975251503
550,-9.442371611265122e-11
551,-3.310181301240766e-11
552,5.659973871942716e-09
553,1.1426677869384185e-08
554,-7.265395843890314e-11
555,-6.725172110086952e-12
556,4.129163720526422e-09
557,6.154998066810899e-09
558,-7.848053191981044e-11
559,-2.728861589565597e-11
560,3.1436023130821717e-09
561,6.074803675472805e-09
562,-8.600869571501979e-11
563,-6.70273495983825e-11
564,1.1585863693563044e-09
565,8.555402602338452e-09
566,-9.715499731831831e-11
567,-1.0019845927449047e-10
568,1.2120341306756742e-09
569,1.5684798999063486e-08
570,-1.6168334639986088e-11
571,-9.666180974963486e-11
572,2.13542754700459e-09
573,2.9999999567758655
574,-7.902602485094182e-11
575,-8.456864142857377e-11
576,2.0530936073135396e-09
577,1.6060687419130163e-08
578,-8.595216633268382e-11
579,-8.146777823163925e-11
580,2.0024852341731512e-09
581,7.044160143403465e-09
582,-8.884299024324269e-11
583,-8.447060150580219e-11
584,1.6166605765205994e-09
585,6.382527453302083e-09
586,-9.170179936425847e-11
587,-9.03447537663299e-11
588,1.8888373479443526e-09
589,7.4302932104333186e-09
590,-6.525054608610175e-11
591,-1.18134424757196e-10
592,1.9315152014766143e-09
593,1.7581755989277095e-08
594,-1.7087128321498876e-10
595,-1.0315121478411025e-10
596,1.3543094994366622e-09
597,2.99999995468815
598,-5.5530089084674583e-11
599,-9.458296324263797e-11
600,1.6696144306105845e-09
601,1.5857177630149084e-08
602,-9.584345538687392e-11
603,-9.337790079077816e-11
604,1.6758866261056467e-09
605,6.7779215193752394e-09
606,-9.718242859407301e-11
607,-9.60399531211595e-11
608,1.906301923780913e-09
609,6.388979934129251e-09
610,-9.740802357120383e-11
611,-1.0104102991245183e-10
612,1.7751236354346713e-09
613,6.795604863677329e-09
614,-1.0347106988553819e-10
615,-4.7991666493802275e-11
616,1.4690216437364754e-09
617,1.682806296907806e-08
618,-1.0000782200147225e-11
619,-1.1300676296725315e-10
620,2.3029462063122895e-09
621,2.999999954687787
622,-1.1268120467486608e-10
623,-1.0173306714317889e-10
624,1.382702006099252e-09
625,1.6661422981912503e-08
626,-8.278809861019571e-11
627,-9.325210810681954e-11
628,1.2542048068138258e-09
629,6.3221603577817266e-09
630,-7.004821646920179e-11
631,-1.0406320636750019e-10
