,0,1
0,3.9999999989694124,0.4999999958979527
1,-1.4182373282072632e-14,2.7292799654605993e-13
2,-2.871654320320198e-14,4.567737834019516e-13
3,-4.373173209549514e-14,4.649158641569483e-13
4,-5.901510730066083e-14,3.694482295720244e-13
5,-7.463648806060806e-14,3.98943963560142e-14
6,-9.10053882280581e-14,1.0336089132723328e-13
7,-1.0217185637539777e-13,1.5848522665538587e-13
8,-1.153902342511136e-13,4.2763910518302347e-13
9,-1.2935366980431159e-13,4.4948231178018287e-13
10,-1.4384995359960577e-13,3.955991819517215e-13
11,-1.58999756693864e-13,3.3790435297158293e-13
12,-1.7569909199410637e-13,1.6682992185633087e-13
13,-1.8386382182659653e-13,3.345491701059718e-13
14,-1.9533298811634578e-13,5.406856590614164e-13
15,-2.0710402076225741e-13,5.11483752055002e-13
16,-2.1852528526322225e-13,5.173655535044331e-13
17,-2.2982009557739614e-13,-4.750201626317231e-14
18,-2.4429881342206854e-13,5.522709668812953e-13
19,-2.2328521098940787e-13,-2.35905717922809e-14
20,-2.2246385103323128e-13,4.721141711096163e-13
21,-2.2558384944911936e-13,4.692683214199613e-13
22,-2.302616787633185e-13,5.379188026203306e-13
23,-2.352207840668045e-13,3.2155519732067435e-13
24,-2.3694423567554913e-13,3.9359635086859167e-13
25,-1.1387844587269396e-13,1.4942516291275935e-13
26,-1.791602448990719e-13,1.2045580128904155e-13
27,-9.669586359596597e-14,7.052053813899796e-14
28,1.1768056145059666e-09,2.2914362405243278e-09
29,-3.0709417064962365e-13,2.78409804255895e-13
30,9.920339228324295e-14,7.46682764418475e-14
31,3.4623373859237593e-13,1.1802502368393814e-13
32,3.1788377834612724e-13,1.6178336077152451e-13
33,1.4103979263757143e-13,2.1358080905502055e-13
34,9.176397463146158e-14,-2.212005030915177e-13
35,1.0346294988004974e-13,-4.300211552374256e-14
36,3.7565669428235965e-14,2.6888785923523088e-14
37,1.6375654283953903e-13,1.6274729119950204e-13
38,1.6836161562659014e-13,1.7510456078821688e-13
39,1.7275397778770928e-14,2.468679351599366e-13
40,1.3935453134894472e-14,1.7634606104337563e-13
41,-6.679961284692191e-14,1.426564478258093e-13
42,-1.4258843713221644e-13,1.4157601528718238e-13
43,8.292149398439244e-14,2.4255436072620256e-13
44,2.941738957182186e-13,1.0307669807580327e-13
45,-6.695413937978724e-14,4.556902531884708e-13
46,-4.7070180857412534e-14,-2.6313681999338096e-13
47,-3.804686781176974e-14,4.040868624794567e-13
48,-3.245649429050456e-13,-2.3819610859880135e-14
49,2.4405268598311514e-15,1.5806943841354362e-13
50,8.309990777540284e-14,6.05282348705742e-14
51,-2.0156297630187354e-13,3.861704966136471e-13
52,-1.9405985850226098e-14,1.2796056237040473e-13
53,-1.0632831798283444e-14,2.107338815486264e-13
54,-6.70946658568446e-14,7.213610463795355e-14
55,-6.062224873851497e-14,1.2041674045785985e-13
56,3.558254524607543e-10,1.1879946842928262e-09
57,-4.880745889556729e-15,4.816673055783327e-14
58,3.094045163540408e-14,-1.2345538035244683e-14
59,9.700406474336377e-14,-4.363959808926237e-15
60,1.6992318672268912e-13,2.0150765324562728e-13
61,3.132802784619351e-13,8.032174344773473e-14
62,1.3543471527859763e-13,1.09407430559462e-13
63,-1.0611914940050205e-13,-5.21282261196896e-14
64,3.87582898388858e-14,4.790325880166751e-14
65,7.21349791186235e-14,-4.638748936832094e-14
66,5.720465726893162e-14,2.2167569494523924e-13
67,1.637477052778229e-13,1.5071269872670796e-13
68,4.7579211254665846e-14,1.767127620878861e-13
69,-1.010048018104221e-13,1.0268813775743818e-13
70,3.396938926561499e-14,1.3395697321343623e-13
71,3.196029213996313e-14,-1.7109001532026747e-13
72,-5.431316846909512e-14,3.243314225803634e-13
73,3.3800497137958865e-13,9.831619412971844e-15
74,-1.7016626411807266e-15,2.884203111942108e-13
75,-3.2867230076321585e-13,-4.614702057472922e-14
76,1.6132511853985648e-13,2.718134365827539e-13
77,-5.629577260504386e-14,-2.971430594682136e-13
78,-2.293737182227205e-13,3.08639705701625e-13
79,1.4105675112376937e-13,-4.473178506564404e-14
80,-1.4856981212235374e-13,9.424436899334638e-14
81,-5.554312336748791e-14,1.0087082647811345e-13
82,7.381112012231799e-14,1.529196486344595e-13
83,-9.148930536547971e-14,2.50077848625418e-13
84,-1.5947859820020875e-18,1.1820065756312814e-09
85,-6.40901607355855e-18,6.783296310622148e-15
86,5.184005066837982e-19,3.2095584304837484e-15
87,1.766815009294771e-22,2.998870295852013e-14
88,6.119623394835247e-19,-4.170638161409234e-14
89,-5.476161361679954e-18,2.06787234537619e-13
90,-3.407048803737197e-19,2.3849460745540653e-13
91,-1.1710164855412277e-17,1.400191452175895e-13
92,-1.4271597136339732e-18,-1.378392174975768e-13
93,-1.9480482755019683e-21,1.2265311674237918e-13
94,-9.44030016351913e-19,-2.8766612292071765e-15
95,-3.808856864600715e-18,2.2033773220819645e-13
96,-4.388095659859445e-19,2.6807700924241037e-13
97,-1.7704217445535587e-17,1.743483821330201e-13
98,-1.2275372772911735e-18,-1.1842451183695228e-13
99,2.651047304053148e-21,2.5992267309752836e-13
100,-7.180040168028851e-19,-2.41888253064514e-13
101,-5.842261943129499e-18,2.727673088728162e-13
102,-9.692358384994368e-19,2.9222286112400724e-13
103,-1.935856965083215e-17,2.0490042178252355e-13
104,7.062943298017114e-19,-3.22591622522916e-13
105,-2.6572469716838793e-21,4.626322677072664e-13
106,-8.364772306722372e-19,-3.052740884139338e-13
107,-5.703873694659038e-18,1.0751132090177436e-13
108,2.9759007759777135e-20,8.172452022588965e-14
109,-3.1358848118701437e-18,1.3731076518053653e-14
110,-3.194002984036623e-20,9.992701368008673e-14
111,-4.352577500966866e-21,2.329784895748285e-13
112,-3.558254717593288e-10,1.1879946724932509e-09
113,4.878490857020064e-15,4.8164261545461504e-14
114,-3.0960960122544435e-14,-1.2363767646152371e-14
115,-9.700279255961076e-14,-4.363249726168895e-15
116,-1.6994811417157712e-13,2.0152981150862845e-13
117,-3.132817837147033e-13,8.032495869466841e-14
118,-1.354455870025455e-13,1.0943206422760154e-13
119,1.061173438720754e-13,-5.2124687701185647e-14
120,-3.877269899106117e-14,4.789045285892966e-14
121,-7.213642623207025e-14,-4.638636876576066e-14
122,-5.721435342699574e-14,2.2168431028917592e-13
123,-1.6374987591050749e-13,1.5071360330557052e-13
124,-4.760471354759355e-14,1.7673378411746373e-13
125,1.010030869555325e-13,1.0268969497372779e-13
126,-3.3998337320519193e-14,1.339312393823779e-13
127,-3.1961584749065456e-14,-1.7109033723785688e-13
128,5.431501277577551e-14,3.2432978540580055e-13
129,-3.380067870220433e-13,9.831438762458585e-15
130,1.6739625669979226e-15,2.884155141324034e-13
131,3.286710040987236e-13,-4.614883015780208e-14
132,-1.613725302399286e-13,2.7177130770257753e-13
133,5.629701188261018e-14,-2.9714203013466215e-13
134,2.293628110986619e-13,3.0864938614349377e-13
135,-1.4105893004570025e-13,-4.473327198784981e-14
136,1.4855925745887925e-13,9.42421411278851e-14
137,5.5541391826598166e-14,1.0086987493631331e-13
138,-7.386325401836064e-14,1.5287332496329188e-13
139,9.148823401239991e-14,2.500777933120322e-13
140,-1.1768056159482108e-09,2.2914362353553336e-09
141,3.0706529559040374e-13,2.7838413761122014e-13
142,-9.921123705450934e-14,7.466012751226122e-14
143,-3.462462800972095e-13,1.1803056510690605e-13
144,-3.1788704732924664e-13,1.6179213303894274e-13
145,-1.4107847966823387e-13,2.136151978477774e-13
146,-9.17670830390878e-14,-2.211950386594612e-13
147,-1.0344172906911863e-13,-4.298324915906752e-14
148,-3.756506485067154e-14,2.6892402109370036e-14
149,-1.6376340709102294e-13,1.6275430838184164e-13
150,-1.6836356769644808e-13,1.7510886041556743e-13
151,-1.732357590817647e-14,2.469107583342811e-13
152,-1.3938107665372832e-14,1.763478624634506e-13
153,6.67970188304635e-14,1.4265414229264715e-13
154,1.425883558859635e-13,1.4157635383221757e-13
155,-8.29302336860882e-14,2.4254605138953686e-13
156,-2.9417513188033917e-13,1.0307702622823457e-13
157,6.693992441951794e-14,4.557028909925223e-13
158,4.706886334692424e-14,-2.6313814933271205e-13
159,3.8007012520673695e-14,4.0405145022083224e-13
160,3.245634250685482e-13,-2.3822531668833884e-14
161,-2.456056222399192e-15,1.5805466089014647e-13
162,-8.309838082723622e-14,6.053038056664373e-14
163,2.01550215299995e-13,3.861818249667959e-13
164,1.9398884394443128e-14,1.2796069869594781e-13
165,1.0613173324367423e-14,2.1071641497602515e-13
166,6.709421657511038e-14,7.213567599429203e-14
167,6.06197508294978e-14,1.2041480141899907e-13
168,-3.9999999989694106,0.4999999958979521
169,1.41823732820759e-14,2.7292062853345544e-13
170,2.8716543203209554e-14,4.5677562139644e-13
171,4.373173209550477e-14,4.649203909122707e-13
172,5.901510730067596e-14,3.6948182174300946e-13
173,7.463648806063007e-14,3.990628729741054e-14
174,9.100538822808631e-14,1.0336089353598098e-13
175,1.0217185638648669e-13,1.5848902621964266e-13
176,1.1539023355523254e-13,4.2765337892043426e-13
177,1.293536698154294e-13,4.4948612417398874e-13
178,1.4384995361073873e-13,3.9563914052105184e-13
179,1.5899975670501622e-13,3.379098207400802e-13
