,0
0,24.000000017615204
1,2.997684350778622e-10
2,2.9999999752515074
3,24.000000002961535
4,-1.3028354629938348e-11
5,-9.442371417339212e-11
6,1.1426677658789793e-08
7,23.999999994272024
8,-3.310180723442701e-11
9,-7.265395741504643e-11
10,6.15499787376051e-09
11,23.999999986274794
12,-6.725170128528598e-12
13,-7.848053216832423e-11
14,6.074803618859732e-09
15,23.999999974860856
16,-2.7288612480609145e-11
17,-8.60086935639413e-11
18,8.555401992711935e-09
19,23.99999995163311
20,-6.702734897155154e-11
21,-9.715499933439143e-11
22,1.5684799084067772e-08
23,18.0000000391425
24,-1.0019845927450174e-10
25,-1.6168335223195e-11
26,2.9999999567758637
27,18.000000010913293
28,-9.666180961627659e-11
29,-7.902602816616332e-11
30,1.606068762609968e-08
31,17.999999999770463
32,-8.456864705366717e-11
33,-8.595216476662866e-11
34,7.044160369947015e-09
35,17.999999989907725
36,-8.14677787579513e-11
37,-8.884299103889343e-11
38,6.382527489292563e-09
39,17.999999978233177
40,-8.447059903990839e-11
41,-9.170179663161571e-11
42,7.430292646079676e-09
43,17.999999947507746
44,-9.034475364087044e-11
45,-6.525054952244653e-11
46,1.7581756140583987e-08
47,12.000000040724196
48,-1.1813442475719175e-10
49,-1.7087128333972964e-10
50,2.999999954688157
51,12.00000001187873
52,-1.0315121457905118e-10
53,-5.553008928334668e-11
54,1.585717752194445e-08
55,12.000000000990475
56,-9.458296324932363e-11
57,-9.584345451709894e-11
58,6.7779215100446016e-09
59,11.999999990828755
60,-9.33779007059357e-11
61,-9.718242856316677e-11
62,6.388979938323042e-09
63,11.999999980078318
64,-9.603995278633933e-11
65,-9.740802347803987e-11
66,6.795604917485133e-09
67,11.99999994865569
68,-1.010410297740071e-10
69,-1.0347106996790927e-10
70,1.682806282635587e-08
71,6.000000040934593
72,-4.799166649381425e-11
73,-1.0000782033140108e-11
74,2.999999954687783
75,6.000000011290117
76,-1.13006763141816e-10
77,-1.1268120131954326e-10
78,1.6661422991920178e-08
79,6.000000000954059
80,-1.0173306112351701e-10
81,-8.278810042431095e-11
82,6.322160239864201e-09
83,5.999999992804117
84,-9.325210815645128e-11
85,-7.004821582481903e-11
86,4.963902351457661e-09
87,5.999999980989085
88,-1.0406320539442918e-10
89,-9.035763897306507e-11
90,7.157844080789025e-09
91,5.999999942947758
92,-1.1592296756801386e-10
93,-1.3361281120170294e-10
94,2.221121486071227e-08
95,5.1446923557163245e-09
96,-1.6115574397486543e-10
97,-1.6384743066907529e-10
98,2.9999999872871785
99,1.5488108819957804e-09
100,-2.8871935822372362e-11
101,3.7560344546361915e-11
102,2.204279471786466e-09
103,5.127413697554855e-10
