,Position[m],Area Ratio,Mach,Temperature[K],Pressure[MPa],density[kg/m^3],velocity[m/s]
0,0.0,1.0,1.0,3391.927374301676,5.586934707823321,4.488978918248958,1195.3193751217611
1,0.024320295916690583,1.4447215891416947,1.7110821799271319,2994.211933056068,2.123423214047814,1.9327449124827099,1921.6435098421612
2,0.04864059183338117,1.9614452077826756,2.0028814423729213,2809.052788188155,1.2941923099357326,1.2556234819028536,2178.692205206701
3,0.07296088775007176,2.546261526414447,2.2152194918432517,2672.469266947443,0.879198416413073,0.8965916548644264,2350.3568784765166
4,0.09728118366676233,3.195406455100566,2.3847089883895953,2563.952353550678,0.637446579747242,0.6775702973889477,2478.2838712487314
5,0.12160147958345291,3.905257067253038,2.5263872658852535,2474.287405223794,0.4836440414341578,0.5327165776083507,2579.2039340048213
6,0.1459217755001435,4.672327611117866,2.6482592762856174,2398.2698749262513,0.3796693673572629,0.43144756382945454,2661.7680941770313
7,0.1702420714168341,5.493265607621586,2.755193848135848,2332.6084484833996,0.30611773125556707,0.35765735164966883,2731.0758936636134
8,0.19456236733352467,6.364848033241388,2.850409043205527,2275.071557788359,0.25220438142116125,0.30211902934830726,2790.3931967416797
9,0.21888266325021524,7.2839775865721155,2.9361577769687126,2224.0711878117,0.21153229199835596,0.2592080624761447,2841.936813254806
10,0.24320295916690582,8.247679037274235,3.0140857677753745,2178.4357157658587,0.18010896865432535,0.22532589530173167,2887.2784362510242
11,0.2675232550835964,9.253095656097528,3.0854353678702133,2137.2758913944936,0.15533778615988386,0.19807836345999313,2927.570980729577
12,0.291843551000287,10.297485724686103,3.1511694178591956,2099.9010865974587,0.1354711416944504,0.17582007755861678,2963.683749345068
13,0.3161638469169776,11.378219123880905,3.2120504094961566,2065.764570102428,0.11929825466334763,0.15738878404165033,2996.2872854668913
14,0.3404841428336682,12.492773999246861,3.2686931828972017,2034.4264414937288,0.10595910432625899,0.1419439222010678,3025.908838002467
15,0.36480443875035873,13.638733502562262,3.321601200337268,2005.527770680004,0.09482942805717766,0.12886499636847903,3052.9698506955
16,0.38912473466704933,14.81378260801901,3.371192226693253,1978.7720983279064,0.08544737559210525,0.11768563775661811,3077.8120280249145
17,0.41344503058373994,16.01570500189283,3.4178169511334886,1953.9119150220731,0.07746543320210819,0.10804968057809822,3100.7159030811604
18,0.4377653265004305,17.242380044453522,3.461772772768936,1930.7385931464144,0.07061814270712548,0.09968121622082482,3121.914345502366
19,0.4620856224171211,18.4917798028959,3.5033141924491216,1909.0747657821769,0.06469995674015287,0.0923637522809584,3141.602571462544
20,0.48640591833381164,19.761966154082774,3.5426607721815544,1888.7684732663256,0.059549753270920075,0.08592543829819664,3159.9456837801563
21,0.5107262142505022,21.051087955902386,3.5800033185935276,1869.6886084560701,0.05503981803707353,0.0802284168144645,3177.0844350321304
22,0.5350465101671928,22.357378286052928,3.615508748100967,1851.7213307091406,0.051067882021341854,0.0751610315026282,3193.1396905789634
23,0.5593668060838834,23.679151747078027,3.6493239589045747,1834.7672123546436,0.04755128413993742,0.0706320471647868,3208.2159259773553
24,0.583687102000574,25.01480183648744,3.681578944687536,1818.7389459181227,0.04442263568096783,0.06656630805107512,3222.403997365288
25,0.6080073979172645,26.3627983808082,3.7123893222857123,1803.5594854875649,0.04162656128446696,0.06290143881530688,3235.783357629239
26,0.6323276938339552,27.72168503242202,3.7418584014350125,1789.1605276760972,0.03911722190919309,0.059585310971994064,3248.423845277032
27,0.6566479897506458,29.090076828055512,3.7700788930610676,1775.481260754388,0.03685641279008647,0.05657407803122769,3260.3871404325328
28,0.6809682856673364,30.466657807800747,3.797134329591106,1762.4673274082247,0.03481208898102806,0.05383063771915353,3271.727959012604
29,0.705288581584027,31.850178693553957,3.8231002538548093,1750.069959054084,0.03295721221625421,0.05132341820524286,3282.495039147899
30,0.7296088775007175,33.23945462577153,3.8480452205478963,1738.245248969502,0.03126884160205254,0.049025412461029184,3292.731961388509
31,0.7539291734174081,34.63336295745257,3.8720316447532013,1726.953538534187,0.029727411031029983,0.046913404320851185,3302.4778349111216
32,0.7782494693340987,36.030841104268546,3.8951165248065704,1716.158896242674,0.02831615081120201,0.04496734387144243,3311.7678749288525
33,0.8025697652507893,37.43088444977077,3.91735206126296,1705.8286732745478,0.027020621573739665,0.04316984006410968,3320.633891175896
34,0.8268900611674799,38.832544304618,3.9387861894349765,1695.9331226065442,0.025828336255190674,0.04150574601586855,3329.1047032551714
35,0.8512103570841704,40.2349259187759,3.9594630396324786,1686.4450711498607,0.024728451658709093,0.03996181810274363,3337.206495480983
36,0.875530653000861,41.637186545652526,3.9794233366017515,1677.3396363628372,0.023711515351290617,0.03852643418066545,3344.9631213905823
37,0.8998509489175516,43.038533557143055,3.9987047475789455,1668.5939803477766,0.022769256848321724,0.03718935947296242,3352.396366169898
38,0.9241712448342422,44.43822260856882,4.017342186710175,1660.1870956838786,0.021894414455255966,0.03594155110706598,3359.526173714974
39,0.9484915407509328,45.835555852506204,4.035368082256399,1652.099618245787,0.021080590981082455,0.03477499416056928,3366.3708438390586
40,0.9728118366676233,47.2298802005114,4.05281261192344,1644.3136630624867,0.0203221329555364,0.03368256352932842,3372.9472041658005
41,0.9971321325843139,48.62058563175808,4.069703910782257,1636.8126799246652,0.019614029078140947,0.03265790706140272,3379.2707604687976
42,1.0214524285010045,50.007103547615536,4.086068255529799,1629.5813259817057,0.018951824480377008,0.031695346286926974,3385.355828586318
43,1.045772724417695,51.388905171206005,4.10193022825405,1622.6053530064864,0.01833154805043605,0.03078979177258504,3391.215650526357
